Date,Arriving by date,Type,Booking date,Start date,End date,Nights,Listing,Currency,Amount,Paid out,Host service fee,Fast pay fee,Cleaning fee,Pet fee,Gross earnings,Occupancy taxes,Earnings year
02/24/2024,02/24/2024,Payout,,,,,,USD,,950.6,,,,,,,
02/24/2024,,Reservation,02/21/2024,02/23/2024,02/25/2024,2.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,435.53,,13.47,,130.0,0.0,449.0,67.89,2024.0
02/24/2024,,Reservation,02/18/2024,02/23/2024,02/25/2024,2.0,"NEW Idlewood, Close to NCSU, PNC Arena, Fenced",USD,515.07,,15.93,,130.0,0.0,531.0,80.29,2024.0
02/22/2024,02/22/2024,Payout,,,,,,USD,,322.04,,,,,,,
02/22/2024,,Reservation,02/20/2024,02/21/2024,02/23/2024,2.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,322.04,,9.96,,130.0,0.0,332.0,50.2,2024.0
02/19/2024,02/19/2024,Payout,,,,,,USD,,378.3,,,,,,,
02/19/2024,,Reservation,02/17/2024,02/18/2024,02/21/2024,3.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,378.3,,11.7,,135.0,0.0,390.0,58.97,2024.0
02/17/2024,02/17/2024,Payout,,,,,,USD,,1102.89,,,,,,,
02/17/2024,,Reservation,01/30/2024,02/16/2024,02/18/2024,2.0,"NEW Idlewood, Close to NCSU, PNC Arena, Fenced",USD,584.91,,18.09,,130.0,0.0,603.0,91.18,2024.0
02/17/2024,,Reservation,02/07/2024,02/16/2024,02/18/2024,2.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,517.98,,16.02,,130.0,0.0,534.0,80.74,2024.0
02/14/2024,02/14/2024,Payout,,,,,,USD,,367.63,,,,,,,
02/14/2024,,Reservation,01/24/2024,02/13/2024,02/15/2024,2.0,"NEW Idlewood, Close to NCSU, PNC Arena, Fenced",USD,367.63,,11.37,,130.0,0.0,379.0,57.31,2024.0
02/13/2024,02/13/2024,Payout,,,,,,USD,,439.41,,,,,,,
02/13/2024,,Reservation,01/20/2024,02/12/2024,02/15/2024,3.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,439.41,,13.59,,135.0,0.0,453.0,68.5,2024.0
02/11/2024,02/11/2024,Payout,,,,,,USD,,422.92,,,,,,,
02/11/2024,,Reservation,01/20/2024,02/10/2024,02/12/2024,2.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,422.92,,13.08,,130.0,0.0,436.0,65.93,2024.0
02/10/2024,02/10/2024,Payout,,,,,,USD,,23.8,,,,,,,
02/10/2024,,Cancellation Fee,01/20/2024,04/04/2024,04/09/2024,5.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,-218.7,,0.0,,0.0,0.0,,0.0,2024.0
02/10/2024,,Reservation,02/07/2024,02/09/2024,02/10/2024,1.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,242.5,,7.5,,130.0,0.0,250.0,37.8,2024.0
02/06/2024,02/06/2024,Payout,,,,,,USD,,388.0,,,,,,,
02/06/2024,,Reservation,02/04/2024,02/05/2024,02/08/2024,3.0,"NEW Idlewood, Close to NCSU, PNC Arena, Fenced",USD,388.0,,12.0,,130.0,0.0,400.0,60.48,2024.0
02/05/2024,02/05/2024,Payout,,,,,,USD,,428.74,,,,,,,
02/05/2024,,Reservation,01/05/2024,02/04/2024,02/07/2024,3.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,428.74,,13.26,,135.0,0.0,442.0,66.83,2024.0
02/04/2024,02/04/2024,Payout,,,,,,USD,,272.57,,,,,,,
02/04/2024,,Reservation,01/30/2024,02/03/2024,02/04/2024,1.0,Treetops by ARRAY | 3 King | 7 Acre | Private Pond,USD,272.57,,8.43,,130.0,0.0,281.0,42.49,2024.0
02/01/2024,02/01/2024,Payout,,,,,,USD,,699.58,,,,,,,
02/01/2024,,Reservation,01/22/2024,01/23/2024,01/31/2024,8.0,"NEW Idlewood, Close to NCSU, PNC Arena, Fenced",USD,69.08,,2.14,,0.0,0.0,71.22,10.77,2024.0
02/01/2024,,Adjustment,01/09/2024,01/09/2024,01/11/2024,2.0,"NEW Idlewood, Close to NCSU, PNC Arena, Fenced",USD,-300.7,,-9.3,,-130.0,0.0,,0.0,2024.0
